Valve_Size_in,Valve_Size_mm,ASME_Rating,Orif_Diameter_in,Orif_Diameter_mm,Travel_in,Travel_mm,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
0,0, - , 0,0,0,0, 0.53, 0.56, 0.60, 0.68, 0.75, 0.78, 0.81, 0.84, 0.85, 0.86
0.75,20, 150 - 1500,0.25,6.4,0.8,20.3, 0.225, 0.39, 0.46, 0.61, 0.77, 0.94, 1.12, 1.31, 1.5, 1.7
0.75, 20, 150 - 1500, 0.375, 9.5, 0.8, 20.3, 0.51, 0.85, 1.02, 1.36, 1.72, 2.11, 2.51, 2.93, 3.36, 3.8
0.75, 20, 150 - 1500, 0.5, 12.7, 0.8, 20.3, 0.81, 1.34, 1.6, 2.15, 2.72, 3.33, 3.96, 4.62, 5.3, 6
0.75, 20, 150 - 1500, 0.812, 20.6, 0.8, 20.3, 1.635, 2.69, 3.21, 4.3, 5.45, 6.65, 7.92, 9.24, 10.6, 12
1, 25, 150 - 1500, 0.25, 6.4, 0.8, 20.3, 0.225, 0.39, 0.46, 0.61, 0.77, 0.94, 1.12, 1.31, 1.5, 1.7
1, 25, 150 - 1500, 0.375, 9.5, 0.8, 20.3, 0.51, 0.85, 1.02, 1.36, 1.73, 2.11, 2.51, 2.93, 3.36, 3.8
1, 25, 150 - 1500, 0.5, 12.7, 0.8, 20.3, 0.81, 1.35, 1.61, 2.15, 2.72, 3.33, 4, 4.63, 5.31, 6
1, 25, 150 - 1500, 0.812, 20.6, 0.8, 20.3, 1.635, 2.70, 3.22, 4.31, 5.45, 6.66, 7.93, 9.25, 10.6, 12
1.5, 40, 150 - 1500, 0.25, 6.4, 0.8, 20.3, 0.225, 0.39, 0.46, 0.61, 0.77, 0.94, 1.12, 1.31, 1.5, 1.7
1.5, 40, 150 - 1500, 0.375, 9.5, 0.8, 20.3, 0.51, 0.85, 1.02, 1.36, 1.73, 2.11, 2.51, 2.93, 3.36, 3.8
1.5, 40, 150 - 1500, 0.5, 12.7, 0.8, 20.3, 0.81, 1.35, 1.61, 2.15, 2.72, 3.33, 4, 4.63, 5.31, 6
1.5, 40, 150 - 1500, 0.812, 20.6, 0.8, 20.3, 1.77, 2.91, 3.48, 4.66, 5.9, 7.2, 8.58, 10, 11.5, 13
1.5, 40, 150 - 1500, 0.994, 25.2, 0.8, 20.3, 3.15, 5.22, 6.1, 7.91, 9.89, 11.67, 13.65, 15.39, 16.65, 18
1.5, 40, 150 - 1500, 1.25, 31.8, 0.8, 20.3, 3.40, 5.61, 6.7, 8.97, 11.3, 13.9, 16.5, 19.3, 22.1, 25
1.5, 40, 150 - 1500, 1.625, 41.3, 0.8, 20.3, 4.76, 7.86, 9.38, 12.6, 15.9, 19.4, 23.1, 27, 31, 35
2, 50, 150 - 1500, 0.25, 6.4, 0.8, 20.3, 0.225, 0.39, 0.46, 0.61, 0.77, 0.94, 1.12, 1.31, 1.5, 1.7
2, 50, 150 - 1500, 0.375, 9.5, 0.8, 20.3, 0.51, 0.85, 1.02, 1.36, 1.73, 2.11, 2.51, 2.93, 3.36, 3.8
2, 50, 150 - 1500, 0.5, 12.7, 0.8, 20.3, 0.81, 1.35, 1.61, 2.15, 2.72, 3.33, 4, 4.63, 5.31, 6
2, 50, 150 - 1500, 0.812, 20.6, 0.8, 20.3, 2.04, 3.38, 4.02, 5.38, 6.81, 8.32, 9.91, 11.6, 13.3, 15
2, 50, 150 - 1500, 0.994, 25.2, 0.8, 20.3, 3.33, 5.51, 6.4, 8.35, 10.44, 12.3, 14.4, 16.25, 17.58, 19
2, 50, 150 - 1500, 1.25, 31.8, 0.8, 20.3, 3.54, 5.84, 6.97, 9.33, 11.8, 14.4, 17.2, 20.1, 23, 26
2, 50, 150 - 1500, 1.625, 41.3, 0.8, 20.3, 6.26, 10.34, 12.3, 16.5, 20.9, 25.5, 30.4, 35.5, 40.7, 46
3, 80, 150 - 1500, 0.994, 25.2, 1.5, 38.1, 3.5, 5.8, 6.74, 8.79, 11, 12.97, 15.2, 17.1, 18.5, 20
3, 80, 150 - 1500, 1.25, 31.8, 1.5, 38.1, 4.22, 6.96, 8.31, 11.1, 14.1, 17.2, 20.5, 23.9, 27.4, 31
3, 80, 150 - 1500, 1.625, 41.3, 1.5, 38.1, 6.39, 10.56, 12.6, 16.9, 21.3, 26.1, 31.1, 36.2, 41.6, 47
3, 80, 150 - 1500, 2.000, 50.8, 1.5, 38.1, 12.6, 20.9, 24.26, 31.65, 39.57, 46.68, 54.58, 61.57, 66.6, 72
3, 80, 150 - 1500, 2.625, 66.7, 1.5, 38.1, 14.96, 24.75, 29.5, 39.5, 49.9, 61, 72.7, 84.8, 97.3, 110
4, 100, 150 - 1500, 0.994, 25.2, 1.5, 38.1, 3.5, 5.8, 6.74, 8.79, 11, 12.97, 15.2, 17.1, 18.5, 20
4, 100, 150 - 1500, 1.625, 41.3, 1.5, 38.1, 6.66, 11.01, 13.1, 17.6, 22.3, 27.2, 32.4, 37.8, 43.3, 49
4, 100, 150 - 1500, 2.000, 50.8, 1.5, 38.1, 12.95, 21.46, 24.93, 32.53, 40.67, 47.97, 56.1, 63.28, 68.45, 74
4, 100, 150 - 1500, 2.625, 66.7, 1.5, 38.1, 15.45, 25.38, 30.3, 40.6, 51.3, 62.7, 74.7, 87.1, 99.9, 113
4, 100, 150 - 1500, 3.5, 88.9, 1.5, 38.1, 26.55, 43.88, 52.3, 70, 88.6, 108, 129, 150, 172, 195
6, 150, 150 - 600, 2.000, 50.8, 2, 50, 14.18, 23.49, 27.29, 35.6, 44.5, 52.5, 61.4, 69.2, 74.9, 81
6, 150, 150 - 600, 2.625, 66.7, 2, 50, 17.1, 28.38, 33.8, 45.2, 57.2, 69.9, 83.2, 97.2, 111, 126
6, 150, 150 - 600, 3.5, 88.9, 2, 50, 28.35, 46.75, 55.7, 74.6, 94.5, 115, 137, 160, 184, 208
6, 150, 150 - 600, 4.375, 111, 2, 50, 52.5, 87, 101, 131.9, 164.9, 194.5, 227.4, 256.5, 277.5, 300
6, 150, 150 - 600, 5, 127, 2, 50, 54.45, 89.88, 107, 143, 182, 222, 264, 308, 354, 400
8, 200, 150 - 600, 3.5, 88.9, 2, 50, 30, 50, 60, 80, 101, 124, 148, 172, 197, 224
8, 200, 150 - 600, 4.375, 111, 2, 50, 54.5, 92.8, 108, 141, 176, 207, 243, 274, 296, 320
8, 200, 150 - 600, 5, 127, 2, 50, 55.5, 93.75, 112, 148, 187, 230, 274, 319, 365, 415
8, 200, 150 - 600, 6.25, 158.7, 2.5, 63, 85.5, 143.7, 173, 228, 289, 355, 422, 493, 563, 640